City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
362,Daru,PG,77.95,overcast clouds,-9.0763,143.2092,Daru Lodge
371,North Bend,US,80.92,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
372,Millinocket,US,75.42,overcast clouds,45.6573,-68.7098,Katahdin Inn & Suites
378,Bontang,ID,77.94,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
384,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
386,Itarema,BR,78.17,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
391,Kulhudhuffushi,MV,81.93,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
406,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
415,Labuhan,ID,76.6,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
418,Contramaestre,CU,79.23,broken clouds,20.2978,-76.2414,Hotel Caribeño
419,Birmitrapur,IN,81.55,overcast clouds,22.4,84.7667,ANUP LOMGA
423,Pafos,CY,82.31,clear sky,34.7667,32.4167,Elysium Hotel
424,Palmer,US,83.68,broken clouds,42.1584,-72.3287,Wedgewood Motel
427,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
431,Beni Suef,EG,83.17,clear sky,29.0731,31.0979,Jewel Inn Beni Suef
435,Limbang,MY,75.51,overcast clouds,4.75,115.0,Purnama Hotel
436,Kerema,PG,79.0,overcast clouds,-7.9631,145.7785,Frena Lodge
439,Phonhong,LA,75.33,moderate rain,18.5007,102.4166,Manyvong Guest House
441,Keti Bandar,PK,79.36,overcast clouds,24.1447,67.4497,Haji laloo memon house
446,Manavalakurichi,IN,78.89,overcast clouds,8.1333,77.3,Udaya Boys Hostel
451,Kilindoni,TZ,76.77,clear sky,-7.9139,39.6668,Bustani B&B
452,Hobyo,SO,76.68,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
461,Kota Belud,MY,76.86,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
464,Methoni,GR,75.06,clear sky,36.8197,21.7049,Methoni Beach Hotel
465,Waingapu,ID,77.38,clear sky,-9.6567,120.2641,Pondok Wisata Elim
466,Sabang,ID,81.16,light rain,5.8933,95.3214,Hotel Citra
467,Waddan,LY,77.92,clear sky,29.1614,16.139,محل الشريف محمد العايب
468,Nyaunglebin,MM,75.6,overcast clouds,17.95,96.7333,Royal Motel
472,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
473,Prainha,BR,76.77,scattered clouds,-1.8,-53.48,Casa Rocha
479,Lalmohan,BD,82.47,overcast clouds,22.3384,90.7419,Sundorbon courier service
480,Hambantota,LK,79.16,overcast clouds,6.1241,81.1185,Bungalow 63
482,Ternate,ID,79.77,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
489,Arroyo,ES,82.15,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
490,Alta Floresta,BR,83.12,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
492,Natchez,US,79.25,thunderstorm with light rain,31.5604,-91.4032,Hampton Inn & Suites Natchez
494,Broome,US,75.16,scattered clouds,42.2506,-75.833,Chenango Valley State Park
497,Mantua,IT,82.74,clear sky,45.1667,10.7833,Hotel la Favorita
503,Makakilo City,US,83.61,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
506,Manggar,ID,79.16,overcast clouds,-2.8833,108.2667,Guest Hotel
508,Praia Da Vitoria,PT,75.45,few clouds,38.7333,-27.0667,Hotel Branco I
509,Damietta,EG,82.29,clear sky,31.4165,31.8133,SULIMAN INN
510,Palmerston,AU,76.98,clear sky,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
515,Celestun,MX,84.87,clear sky,20.8667,-90.4,Posada Lilia
516,Port Blair,IN,80.15,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
517,Yenagoa,NG,75.99,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
520,Palu,ID,75.0,broken clouds,-0.8917,119.8707,Hotel Santika Palu
523,Basco,PH,83.97,clear sky,20.4487,121.9702,Nathaniel's Lodge
524,Cornelio Procopio,BR,75.83,clear sky,-23.1811,-50.6467,Hotel Midas Cornélio Procópio
525,Dicabisagan,PH,79.07,heavy intensity rain,17.0818,122.4157,Nancy Montanes Bernardo
527,Naze,JP,79.72,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
530,Rayagada,IN,77.18,overcast clouds,19.1667,83.4167,"Hotel Swagath, Rayagada"
537,Camocim,BR,78.98,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
538,Warri,NG,75.54,broken clouds,5.5167,5.75,BON Hotel Delta
539,Benghazi,LY,81.0,clear sky,32.1167,20.0667,Tibesti Hotel
541,Kalmunai,LK,79.29,light rain,7.4167,81.8167,VS Villa
545,Padang,ID,76.3,overcast clouds,-0.9492,100.3543,Mercure Padang
548,Logansport,US,77.92,clear sky,40.7545,-86.3567,"Holiday Inn Express & Suites Logansport, an IHG Hotel"
549,Adana,TR,82.42,few clouds,36.985,35.2881,Güney Adana Otel
552,Shetpe,KZ,76.14,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
555,Daraitan,PH,76.71,heavy intensity rain,14.6028,121.4319,Daraitan Guesthouse
566,Melfi,IT,77.23,clear sky,40.9965,15.6514,HOTEL TERME DI RAPOLLA
571,Zlitan,LY,80.58,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
572,Fort Saint James,CA,79.77,overcast clouds,54.4333,-124.25,The View Hotel
574,Itoman,JP,84.22,light intensity shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
580,Axim,GH,75.43,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
596,Bud,US,79.99,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
603,Richmond,US,82.2,few clouds,37.5538,-77.4603,The Jefferson Hotel
604,Muli,MV,81.59,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
608,Hun,LY,78.57,clear sky,29.1268,15.9477,Alrwasi Hotel
609,Mangrol,IN,80.6,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
611,Nusaybin,TR,83.84,clear sky,37.0778,41.2178,Aydinlar Hotel
617,Mahoba,IN,80.02,clear sky,25.2833,79.8667,"Hotel, Restaurant and Guest House"
618,Shingu,JP,81.91,light rain,33.7333,135.9833,Shingu UI Hotel
622,Decatur,US,82.26,overcast clouds,39.8403,-88.9548,Haworth Cottage
623,Nishihara,JP,83.48,scattered clouds,26.1842,127.7558,Minshuku Agaihama
624,Samana,DO,80.62,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
627,Boa Vista,BR,82.38,light rain,2.8197,-60.6733,Aipana Plaza Hotel
632,Tuy Hoa,VN,78.19,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
633,Radhanpur,IN,81.46,scattered clouds,23.8333,71.6,YASH HOTEL
635,Gangapur,IN,82.26,overcast clouds,26.4833,76.7167,OYO 45271 Hotel Haveli
638,Les Cayes,HT,81.91,scattered clouds,18.2,-73.75,Villa Orphee
641,Bolpur,IN,81.23,overcast clouds,23.6667,87.7167,Charbari Resort (Chalantika Group)
643,Gobo,JP,81.95,light rain,33.8833,135.15,Tabiji
646,Qui Nhon,VN,80.76,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
655,Leninsk,RU,76.86,overcast clouds,48.7119,45.1994,Turbaza Odisseya
658,Ugoofaaru,MV,82.13,overcast clouds,5.6667,73.0,Ungoofaaru Inn
664,Acarau,BR,77.47,scattered clouds,-2.8856,-40.12,castelo pizzaria
688,Apollonia,GR,76.91,clear sky,36.9716,24.7231,Hotel Anthousa
689,Popondetta,PG,82.78,scattered clouds,-8.7537,148.2534,Timos Transit House
