City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Aktau,KZ,2021-08-14 00:54:14,43.65,51.2,75.78,41,0,18.34
67,Shambu,ET,2021-08-14 00:54:14,9.5667,37.1,49.86,87,13,1.81
68,Dingle,PH,2021-08-14 00:54:15,10.9995,122.6711,84.9,69,76,2.19
69,Camana,PE,2021-08-14 00:54:15,-16.6228,-72.7111,59.77,87,81,8.57
70,Buinsk,RU,2021-08-14 00:54:16,54.95,48.2833,71.49,75,100,11.5
71,Makakilo City,US,2021-08-14 00:54:16,21.3469,-158.0858,83.95,54,75,16.11
72,Ushtobe,KZ,2021-08-14 00:54:16,45.2514,77.9838,66.11,62,71,1.1
73,Luderitz,NA,2021-08-14 00:54:17,-26.6481,15.1594,57.45,39,0,14.16
74,Tasiilaq,GL,2021-08-14 00:54:17,65.6145,-37.6368,38.93,67,2,7.27
75,Batagay-Alyta,RU,2021-08-14 00:54:18,67.8006,130.4114,52.74,76,100,7.65
76,Saint-Philippe,RE,2021-08-14 00:54:18,-21.3585,55.7679,67.59,80,0,7.38
77,San Cristobal,VE,2021-08-14 00:54:18,7.7669,-72.225,68.18,95,72,2.68
78,Grootfontein,NA,2021-08-14 00:54:19,-19.5667,18.1167,49.57,46,18,3.44
79,Santa Marta,CO,2021-08-14 00:54:19,11.2408,-74.199,82.98,79,26,1.99
80,Mahebourg,MU,2021-08-14 00:54:19,-20.4081,57.7,67.24,100,20,5.75
81,Tabuk,PH,2021-08-14 00:54:19,17.4189,121.4443,83.1,69,27,4.29
82,Pisco,PE,2021-08-14 00:54:20,-13.7,-76.2167,63.01,82,20,3.44
83,Revda,RU,2021-08-14 00:54:20,56.801,59.9303,45.41,67,0,4.65
84,Necochea,AR,2021-08-14 00:54:21,-38.5473,-58.7368,39.04,73,6,10.71
85,Jalu,LY,2021-08-14 00:54:21,29.0331,21.5482,82.24,39,0,11.1
86,Muros,ES,2021-08-14 00:54:21,42.7762,-9.0603,67.98,87,7,6.96
87,Mount Isa,AU,2021-08-14 00:54:22,-20.7333,139.5,80.37,28,0,12.66
88,Fairbanks,US,2021-08-14 00:52:06,64.8378,-147.7164,61.02,58,90,3.0
89,Beyneu,KZ,2021-08-14 00:54:22,45.3167,55.2,71.49,43,0,9.42
90,Nikolskoye,RU,2021-08-14 00:54:22,59.7035,30.7861,63.01,88,93,6.53
91,Okha,RU,2021-08-14 00:54:23,53.5739,142.9478,71.69,56,8,7.07
92,Port Elizabeth,ZA,2021-08-14 00:54:23,-33.918,25.5701,44.89,76,0,4.61
93,Kawalu,ID,2021-08-14 00:54:23,-7.3817,108.2082,74.07,90,90,1.32
94,Gamba,GA,2021-08-14 00:54:17,-2.65,10.0,73.27,89,54,4.47
95,Saint George,US,2021-08-14 00:54:24,37.1041,-113.5841,100.99,19,1,14.97
96,Atuona,PF,2021-08-14 00:54:25,-9.8,-139.0333,78.1,70,2,14.45
97,Pacific Grove,US,2021-08-14 00:54:25,36.6177,-121.9166,89.15,84,40,3.0
98,Phuket,TH,2021-08-14 00:54:25,8.0,98.25,79.02,94,20,0.0
99,Akureyri,IS,2021-08-14 00:53:12,65.6835,-18.0878,53.53,87,90,2.3
100,Castro,BR,2021-08-14 00:50:23,-24.7911,-50.0119,49.93,98,100,6.49
101,Airai,TL,2021-08-14 00:54:26,-8.9266,125.4092,71.15,38,82,5.59
102,Chuy,UY,2021-08-14 00:54:27,-33.6971,-53.4616,48.81,93,98,5.82
103,Pevek,RU,2021-08-14 00:54:27,69.7008,170.3133,38.75,99,100,7.0
104,Cuamba,MZ,2021-08-14 00:54:27,-14.8031,36.5372,62.94,77,0,3.04
105,Fortuna Foothills,US,2021-08-14 00:54:28,32.6578,-114.4119,102.29,34,1,1.99
106,Hambantota,LK,2021-08-14 00:54:28,6.1241,81.1185,80.94,78,20,12.66
107,Dakar,SN,2021-08-14 00:54:29,14.6937,-17.4441,82.53,83,40,4.61
108,Pak Chong,TH,2021-08-14 00:54:29,14.708,101.4161,77.61,87,100,3.47
109,Umm Lajj,SA,2021-08-14 00:54:29,25.0213,37.2685,88.47,47,0,10.33
110,Aklavik,CA,2021-08-14 00:54:30,68.2191,-135.0107,49.03,87,100,1.3
111,Atkinson,US,2021-08-14 00:54:30,42.8384,-71.147,83.07,82,11,1.21
112,Bethel,US,2021-08-14 00:54:30,41.3712,-73.414,84.72,77,17,4.59
113,Humaita,BR,2021-08-14 00:51:15,-7.5061,-63.0208,80.51,39,34,0.56
114,Bozoum,CF,2021-08-14 00:54:30,6.3193,16.3799,68.23,98,100,3.0
115,Faanui,PF,2021-08-14 00:54:31,-16.4833,-151.75,78.71,70,15,8.9
116,Vysokogornyy,RU,2021-08-14 00:54:31,50.1167,139.15,73.76,49,13,1.25
117,Jamestown,US,2021-08-14 00:51:17,42.097,-79.2353,79.92,88,75,10.36
118,Arraial Do Cabo,BR,2021-08-14 00:54:31,-22.9661,-42.0278,66.4,86,100,21.83
119,Cherskiy,RU,2021-08-14 00:54:32,68.75,161.3,47.28,68,100,17.78
120,Oranjemund,NA,2021-08-14 00:54:32,-28.55,16.4333,55.31,37,0,12.5
